"id","en","fr","es","ru","zh","de","bn","fa","ps"
"admin","Administrator","Administrateur","","","","","","مدیران","مدیران"
"admins","Administrators","Administrateurs","","","","","","",""
"bottom","Bottom","En bas","","","","","","پایین","لاندې"
"btn_browse","Browse...","Ouvrir","","","","","","",""
"btn_add_source","Add a source layer","Ajouter une couche source","","","","","","افزودن لایه اصلی","د سرچینې لایه اضافه کړئ"
"btn_load_new_project","Load the new project","Charger le nouveau projet","","","","","","",""
"btn_add_view","Create a new view","Créer une nouvelle vue","","","","","","افزودن نمایه","لید اضافه کړئ"
"btn_show_db_info","Full access","Accès complet","","","","","","",""
"btn_show_project_external_views","Manage external views","Gérer les vues externes","","","","","","",""
"btn_show_db_query_maker","API SQL query maker","Requête SQL pour l'API","","","","","","",""
"label_query_write","Write your SQL query","Votre requête SQL","","","","","","",""
"label_layer_available","Relations available","Relations disponibles","","","","","","",""
"btn_show_add_project","Add a new project","Nouveau projet","","","","","","",""
"btn_show_db_info_self","Get a temporary access to edit a dataset","Obtenir un accès provisoire pour éditer une source","","","","","","",""
"btn_cancel","Cancel","Annuler","","","","","","لغو ","لغوه کړی"
"btn_copy","Copy","Copier","","","","","","",""
"btn_geolocate_user","Geolocate","Géolocaliser","","","","","","لغو ","لغوه کړی"
"btn_close","Close","Fermer","","","","","","بستن","وتړئ"
"btn_join_project_long","Membership request for this project","Demande d'adhésion à ce projet","","","","","","",""
"btn_join_project","Join","Adhérer","","","","","","",""
"btn_join_current_project","Join current project ( %s )","Adhérer au projet courant ( %s )","","","","","","",""
"btn_confirm","Confirm","Confirmer","","","","","","تایید","تائید"
"btn_country","Select country","Sélectionnez le pays","","","","","","انتخاب کشور","هیواد وټاکی"
"btn_create","Create","Créer","","","","","","ایجاد","جوړ کړئ"
"btn_delete","Delete","Supprimer","","","","","","حذف","پاک کړئ"
"btn_edit_source","Manage sources","Gérer les sources","","","","","",""""
"btn_edit_source_metadata","Edit sources metadata","Editer les métadonnées des sources","","","","","",""""
"btn_finish","Finish","Finir","","","","","","تمام","تمام"
"btn_fullscreen","Display the app in fullscreen mode","Mode plein écran","","","","","","نمایش برنامه بشکل صفحه کامل","اپلیکیشن په بشپړه صفحه کې ښکاره کړئ"
"btn_get_area_visible","Area of visible features","Superficie des objets visibles","","","","","","ساحه پدیده های قابل دید","د لیدلو وړ ځانګړتیاوو ځای"
"btn_get_overlap_visible","Overlaps to geojson","Chevauchements vers geojson","","","","","","",""
"btn_get_layer_summary","Get layer summary","Visualiser le résumé de la source","","","","","","تنظیم  منابع"""
"btn_iframe_builder","Embed MapX","Intégration MapX","","","","","",""""
"btn_language","Language","Langue  ","","","","","","زبان","ژبه"
"btn_login","Login window","Fenêtre d'identification","","","","","","صفحه ورودی ","د ننوتلو کړکۍ"
"btn_north_arrow","Reset bearing","Reset bearing","","","","","",""""
"btn_opt_date","Filter date","Filtrer par date","","","","","",""""
"btn_opt_delete","Remove this view","Supprimer cette vue","","","","","","حذف این نمایه","دا لید لرې کړئ"
"btn_opt_move_top","Move to top","Déplacer vers le haut","","","","","","",""
"btn_opt_move_bottom","Move to bottom","Déplacer vers le bas","","","","","","",""
"btn_opt_delete_geojson","Delete","Supprimer","","","","","","حذف","دا GeoJSON پاک کړئ"
"btn_opt_download","Download the data","Télécharger les données","","","","","","دانلود معلومات","ډیټا ډانلوډ کړئ"
"btn_opt_edit_config","Configure this view","Configurer la vue","","","","","","تنظیم این نمایه","دا لید په لاره واچوئ"
"btn_opt_edit_custom_code","Edit code","Editer le code","","","","","",""""
"btn_opt_edit_dashboard","Edit dashboard","Editer le dashboard","","","","","",""""
"btn_opt_edit_story","Edit story","Editer le récit","","","","","",""""
"btn_opt_edit_style","Set the style of this view","Configurer le style de cette vue","","","","","","تنظیم ستایل این نمایه","ددې لیدنې شکل تنظیم کړئ"
"style_title_legend","Legend title","Titre de la légende","","","","","","",""
"style_reverse_order","Reverse displayed layers order","Inverser l'ordre des couches sur la carte","","","","","","",""
"style_reverse_order_desc","If checked, the layer stack will be reversed : the top rule will draw a layer at the bottom of the stack","Si coché, la pile de couches sera inversée : la première règle défininira la couche à la base de la pile","","","","","","",""
"style_hide_nulls","Ignore missing values","Ignorer les valeurs manquantes","","","","","","",""
"style_hide_nulls_desc","If checked, null or missing values will be ignored in the style","Si coché, les valeurs manquantes ou nulles ne seront pas utilisées dans le style","","","","","","",""
"btn_opt_meta","Display metadata","Afficher les métadonnées ","","","","","","نمایش ابرداده","میتا ډیټا ښکاره کړئ"
"btn_opt_numeric","Filter by numeric value","Filtrer par valeur numerique","","","","","",""""
"btn_opt_reset","Reset the view","Réinitialiser la vue","","","","","","تنظیم دوباره نمایش","د ټولو لیدنو بیا کتنه"
"btn_opt_screenshot","Take a screenshoot","Prendre une capture d'écran","","","","","","گرفتن تصویر","د صفحې تصویر واخلئ"
"btn_opt_search","Settings","Préférences","","","","","","جستجو و فلتر","ټول فلټرونه ولټوئ"
"btn_opt_share","Share this view","Partager cette vue","","","","","",""""
"btn_opt_start_story","Read this story","Lire ce récit","","","","","","این تاریخ را بخوانید","دا تاریخچه ولولئ"
"btn_opt_transparency","Transparency","Transparence","","","","","",""""
"btn_opt_zoom_all","Zoom to all features","Zoomer sur tous les éléments","","","","","","بزرگنمایی به همه پدیده ها","د ټولو ځانګړتیاوو لپاره یې زوم کړئ"
"btn_opt_zoom_visible","Zoom on displayed features","Zoomer sur les éléments affichés","","","","","","بزرگنمایی به اندازه نمایش پدیده ها","د ځانګړتیاوو د لیدلو لپاره یی زوم کړئ"
"btn_preview","Preview","Aperçu","","","","","",""""
"btn_selfdb_generate_info","Generate","Générer","","","","","",""""
"btn_print","Print current","Imprimer","","","","","","پرنت صفحه فعلی","اوسنۍ صفحه پرینټ کړئ"
"btn_reset","Reset","Réinitialiser","","","","","","تنظیم دوباره","بیا کتنه"
"btn_save","Save","Sauvegarder","","","","","","ذخیره","ساتل"
"btn_send","Submit","Envoyer","","","","","","ارسال","لیږل"
"btn_show_app_config","Configuration","Configuration","","","","","",""""
"btn_show_project_config","Project configuration","Configuration du projet","","","","","",""""
"btn_show_project_delete","Delete this project","Supprimer ce projet","","","","","",""""
"btn_show_role_manager","Define roles","Définir les roles","","","","","",""""
"btn_sort_date","Date","Date","","","","","","",""
"btn_filter_checked","Filter activated views","Filtrer les vues activées","","","","","","",""
"btn_sort_title","Title","Titre","","","","","","",""
"sort_label","Sort by","Trier par","","","","","","",""
"btn_story_unlock_map","Toggle map interaction","Permettre l'interaction avec la carte","","","","","","",""
"btn_story_close","Back to the map explorer","Revenir à l'explorateur","","","","","","",""
"btn_story_edit_cancel","Cancel edition","Annuler l'édition","","","","","","",""
"btn_story_edit_save","Save edition","Sauvegarder l'édition","","","","","","",""
"btn_story_edit","Start edition","Démarrer l'édition","","","","","","",""
"btn_switchui","Toggle the color of the interface","Changer les couleurs de l'interface","","","","","","تغییر رنگ صفحه رابط","د نښلونکې صفحې رنګ ته بدلون ورکړئ"
"btn_tab_dashboard","Toggle dashboards","Dashboards","","","","","",""""
"btn_tab_settings","Settings ","Préférences","","","","","","تنظیمات ","امستنې (تنظیمات)"
"btn_tab_tools","Toolbox","Boîte à outils","","","","","","جبعه ابزار","د وسایلو بکس"
"btn_tab_views","Views","Vues","","","","","","نمایه ها","لیدنې"
"btn_theme_black","Switch theme : dark","Changer le thème : sombre","","","","","","تاریک","تیاره"
"btn_theme_orig","Switch theme : clear","Changer le thème : clair","","","","","","صاف","روښانه"
"btn_theme_sat","Switch theme : aerial","Changer le thème : imagerie aérienne","","","","","","هوایی","هوایي"
"btn_toggle_all","Immersive mode","Mode immersif","","","","","","",""
"btn_update","Update  ","Mettre à jour","","","","","","تجدید","آپډیټ کړئ"
"btn_upload","Upload","Téléverser","","","","","","آپلود"""
"btn_wms_creator","WMS","WMS","","","","","",""""
"btn_zoom_in","Zoom in","Zoomer","","","","","","بزرگنمایی","غټ ښودل"
"btn_zoom_out","Zoom out","Dézoomer","","","","","","کوچک نمایی","کوچوني ښودل"
"categorical","Categorical","Catégorielle","","","","","","طبقه ایی","قطعي"
"cc","Custom code","Code personnalisé","","","","","",""""
"center","Center","Centre","","","","","","وسط","مابین"
"country","Country","Pays","","","","","","کشور","هیواد"
"create","Create","Créer","","","","","","ایجاد","جوړ کړئ"
"content","Content","Contenu","","","","","","",""
"title","Title","Titre","","","","","","",""
"join_project","Join","Adhérer","","","","","","",""
"dev","Development","Dévelopement","","","","","","توسعه","پرمختیا"
"env","Environment","Environnement","","","","","","محیط","چاپېریال"
"error_no_layer","No source layer set","Pas de couche source attribuée","","","","","","لایه منبع ایجاد نشد","د سرچینې لایه نده جوړه شوې"
"error_form_issues","There are some issues in the form, please correct them","Il y a des problèmes dans le formulaire, merci de les corriger.","","","","","","",""
"warning_delete_project","Project deletion also remove all views, data, settings and anything related to this project, including views used in other project. Data shared from other project will be preserved","La suppression de ce projet supprimera également toutes les vues, configuration, données, ainsi que tout ce qui est lié à ce projet, y-compris les vues ou les sources partagées vers d'autres projets. Les données des autres projets seront conservées.","","","","","","لایه منبع ایجاد نشد","د سرچینې لایه نده جوړه شوې"
"error_no_source","No source layer found","Pas de couche source trouvée","","","","","","منبع لایه مرتبط پیدا نشد","د سرچینې لایه و نه موندل شوه"
"error_title_exists","This title already exists","Ce titre est déjà pris","","","","",""," عنوان از قبل موجود میباشد","عنوان له مخکې شتون لري"
"error_title_no_match","The title does not match","Le titre ne correspond pas","","","","","","",""
"error_title_short","The title is too short","Ce titre est trop court","","","","","","عنوان بسیار کوتاه است","عنوان ډیر لنډ دی"
"error_description_short","The description is too short","La description est trop courte","","","","","","",""
"error_title_bad","The title is not valid","Ce titre n'est pas valide","","","","","","",""
"error_title_bad","The title is not valid","Ce titre n'est pas valide","","","","","","",""
"error_project_default_not_public","The default project must be public","Le projet par défault doit être public","","","","","","",""

"error_email_not_valid","This email is not valid","Cet email n'est pas valide","","","","","","",""
"error_email_bad","This email is not accepted","Cet email n'est pas accepté","","","","","","",""
"error_msg_bad","This message is not accepted","Ce message n'est pas accepté","","","","","","",""
"error_msg_too_long","This message is too long","Ce message est trop long","","","","","","",""
"error_msg_too_short","This message is too short","Ce message est trop court","","","","","","",""
"error_email_not_registered","This email does not belongs to a current MapX user. Once open, the activation link will also create automatically a new account on MapX.","Cet email n'appartient pas à une utilisatrice ou un utilisateur enregistré sur MapX. Le lien d'invitation, une fois ouvert, créera également un compte pour cet email.","","","","","","",""
"error_email_already_member","A user with this email is already registered","Cet email est déjà celui d'un membre","","","","","","",""
"error_description_bad","The description is not valid","La description n'est pas valide","","","","","","",""
"error_title_long","The title is to long","Ce titre est trop long","","","","","","",""
"error_description_long","The description is to long","La description est trop long","","","","","","",""
"error_cant_geolocate_msg","Sorry, MapX can't find your position","Désolé, MapX n'arrive pas à déterminer votre position actuelle.","","","","","","",""
"error_geolocate_issue","Geolocation issue","Problème de geolocalisation","","","","","","",""
"exponential","Continuous","Continue","","","","","","پیوسته","دوامداره"
"ext","Extractive","Extractif","","","","","","مواد استخراجی","استخراجي"
"fold_view_legend","Legend","Légende","","","","","","علایم","نښې"
"fold_view_tools","Tools","Outils","","","","","","ابزار","وسایل"
