id,en,fr,es,ru,zh,de,bn,fa,ps
additional_doc_desc,"If any, list of additional documents","Si applicable, liste des documents additionnels","Si aplica, lista de documentos adicionales",NA,NA,NA,NA,اگر هر گونه، لست اسناد اضافی,که د اضافي اسنادو کوم نوملړ
additional_doc_items_desc,Related documents such as technical information about a dataset,"Documents liés, par example documentation technique, article scientifique ou autre","Documentos relacionados, por ejemplo documentos técnicos, artículos científicos u otros",NA,NA,NA,NA,اسناد مرتبط مثل اطلاعات تخنیکی در باره مجموعه اطلاعات,ورته اسناد لکه د ډیټابیس په هکله تخنیکي معلومات
additional_doc_items_title,List of annexes,Liste des annexes,Lista de anexos,NA,NA,NA,NA,لست ضمایم,د ضمیمو نوملړ
additional_doc_item_title,Document,Document,Documentos,NA,NA,NA,NA,سند,اسناد
additional_doc_item_url,URL to the document,URL pointant vers le document,URL hacia el documento,NA,NA,NA,NA,برای سند URL ,د سند لپاره URL
additional_doc_title,Annexes,Annexes,Anexos,NA,NA,NA,NA,ضمایم ,ضمیمې
annually,Data is updated every year,La donnée est mise à jour chaque année,Los datos son actualizados cada año,NA,NA,NA,NA,اطلاعات هر ساله تجدید می شوند,ډیټا هر کال نوې کیږي
as_needed,Data is updated as deemed necessary,La donnée est mise à  jour lorsque cela est nécessaire,Los datos son actualizados cada vez que sea necesario,NA,NA,NA,NA,اطلاعات به صورت ضروری تجدید می شوند,دیټا د اړتیا په صورت کې نوې کیږي
attribute_desc_title,Description,Description,Descripción,NA,NA,NA,NA,شرح,تفصیلات
attribute_item_title,Attribute,Attribut,Atributo,NA,NA,NA,NA,ویژه گی ,ځانګېړنه
attribute_name_title,Attribute name,Nom de l'attribut,Nombre del atributo,NA,NA,NA,NA,نام ویژه گی ,د ځانګېړنې نوم
attributes_desc,Description of the attributes contained in the data,Description des attributs de la donnée,Descripción de los atributos de la base de datos,NA,NA,NA,NA,شرح ویژه گی های که در اطلاعات موجود می باشد,د ځانګېړنو په هکله تفصیلات په ډیتا کې شتون لري.
attributes_list_title,Attributes list,Liste d'attributs,Lista de atributos,NA,NA,NA,NA,لست ویژه گی ها,د ځانګېړنو نوملړ
attributes_title,Attributes,Attributs,Atributos,NA,NA,NA,NA,ویژه گی ها,ځانګېړنې
biannually,Data is updated twice each year,La donnée est mise à  jour deux fois par an,Los datos son actualizados dos veces por año,NA,NA,NA,NA,اطلاعات دو بار در سال تجدید می شوند,ډیټا په کال کې دوه ځله نوې کیږي
confirm_source_remove,Are you sure to delete the source with all related views and metadata ? This can't be undone,Êtes-vous certain de vouloir supprimer cette source ainsi que toutes les vues et métadonnées liées ? L'opération ne peut pas être annulée.,¿Está seguro de eliminar el recurso con todas las vistas y metadatos relacionados? La operación no podrá ser anulada,NA,NA,NA,NA,آیا مطمئن هستید که منبع را با تمام مشاهدات و ابرداده های مرتبط حذف شود؟ این کار را نمیتوان لغو کرد,آیا تاسو ډاډه یاست چې سرچینه د ټولو مربوطه لیدنو او میټا ډیټا سره پاکه کړئ؟ دا بیا نه موندل کیږي
contact_address,Contact address,Addresse du contact,Dirección del contacto,NA,NA,NA,NA,آدرس مخاطب,د مخاطب پته
contact_desc,Information about people or organisation related to this data,Information sur les personnes ou organisations liées à la donnée, Información de contacto de la persona o organización relacionados con datos,NA,NA,NA,NA,معلومات مربوط به افراد یا سازمان مرتبط به این اطلاعات,د هغو افرادو او سازمانونو په هکله معلومات چې په دې ډیټا پورې اړه لري
contact_email,Contact email,Email du contact,Correo electrónico del contacto,NA,NA,NA,NA,ایمل مخاطب,د مخاطب د بریښنالیک پته
contact_function,Function,Fonction,Función,NA,NA,NA,NA,عملکرد,فعالیت
contact_function_desc,"Name of the contact function, e.g. Administrator, Publisher","Nom de la fonction du contact : par ex. Administrateur, Editeur",Nombre de la función del contacto. Ej. Administrador,NA,NA,NA,NA,نام مخاطب عمل کننده، مثل مدیر، ناشر ,د فعایت کوونکو مخاطبینو نومونه، لکه: اداره کوونکی، خپروونکی
contact_item_title,Contact,Contact,Contacto,NA,NA,NA,NA,مخاطب,مخاطبین
contact_list_title,List of contacts,Liste des contacts,Lista de contactos,NA,NA,NA,NA,لست مخاطبین,د مخاطبینو نوملړ
