id,en,fr,es,ru,zh,de,bn
schemaTitle,Map-x metadata,Métadonnées map-x,,,,,
schemaDesc,Metadata editor for map-x sources.,Editeur de métadonnées pour les sources de map-x.,,,,,
textualTitle,Textual,Texte,,,,,
textualDesc,"Textual description of the data using title, abstract and tags","Description de la donnée : titre, résumé et tags",,,,,
textualDescTitle,Title,Titre,,,,,
textualDescAbstract,Abstract,Résumé,,,,,
originHomepageTitle,Homepage,Page d'accueil,,,,,
originHomepageItemTitle,Homepage (URL),Page d'accueil (URL),,,,,
originHomepageDesc,Homepage for the data,Page d'accueil de la donnée,,,,,
textualKeywordTitle,Keywords,Mots clés,,,,,
textualKeywordDesc,Keywords (or tags) help users discover your dataset. Please include terms that would be used by technical and non-technical users.,Mots clés (ou tags) permettant aux utilisateurs de découvrir la donnée. Ajoutez des termes utilisés par des personnes ayant un profil technique ou non technique.,,,,,
textualKeywordsTitle,Keywords list,Liste de mots clés,,,,,
textualKeywordItemTitle,Keyword,Mot clé,,,,,
temporalTitle,Temporal,Temporel,,,,,
temporalDesc,"Description of the dataset using temporal references: periodicity, initial release, update and range","Description de la donnée au moyen de références temporelles : périodicité, date de publication, etc",,,,,
temporalIssuanceTitle,Issuance,Emission,,,,,
temporalIssuanceDesc,Description if the data issuance,Information sur l'émission de la donnée,,,,,
temporalPeriodicity,Periodicity,Périodicité,,,,,
temporalPeriodicityDesc,Frenquency with wich data is published or updated,Fréquence de publication ou de mise à jour de la donnée,,,,,
temporalReleaseTitle,Release date,Date d'émission,,,,,
temporalReleaseDesc,Date of formal issuance,Date d'émission officielle,,,,,
temporalUpdateTitle,Last update,Dernière mise à jour,,,,,
temporalUpdateDesc,Date of the latest update,Date de dernière mise à jour de la donnée,,,,,
temporalRangeTitle,Range,Etendue,,,,,
temporalRangeDesc,The temporal range of the data,L'étendue temporelle de la donnée,,,,,
temporalRangeTimeless,There is no time range for this data,Il n'y a pas d'étendue temporelle pour la donnée,,,,,
temporalRangeStart,Start,Début,,,,,
temporalRangeEnd,End,Fin,,,,,
spatialTitle,Spatial,Spatial,,,,,
spatialDesc,"Description of the data using spatial reference: bounding box, and spatial reference system (SRS)",Description spatiale de la donnée avec délimitation spatiale et système de coordonnées (SRS),,,,,
spatialSrsTitle,Spatial reference system,Système de coordonnées,,,,,
spatialSrsDesc,Description of the spatial reference system,Description du système de coordonnées,,,,,
spatialSrsCode,Code of the SRS,Code du système de coordonnées,,,,,
spatialSrsDescUrl,URL to the SRS code definition,URL vers la définition du code du système de coordonnées,,,,,
spatialBbxTitle,Bounding box,Délimitation spatiale,,,,,
spatialBbxDesc,Spatial bounding box of the data using latitude and longitude,Délimitation spatiale en latitude et longitude,,,,,
spatialBbxLngMin,Min. longitude,Longitude min.,,,,,
spatialBbxLngMax,Max. longitude,Longitude max.,,,,,
spatialBbxLatMin,Min. latitude,Latitude min.,,,,,
spatialBbxLatMax,Max. latitude,Latitude max.,,,,,
contactTitle,Contacts,Contacts,,,,,
contactDesc,Information about people or organisation related to this data,Information sur les personnes ou organisations liées à la donnée,,,,,
contactListTitle,List of contacts,Liste des contacts,,,,,
